epoch,accuracy,auc,loss,pr_auc,precision,recall,val_accuracy,val_auc,val_loss,val_pr_auc,val_precision,val_recall,learning_rate
1,0.9220470786094666,0.922965407371521,0.44678163528442383,0.3119165301322937,0.01712382584810257,0.7994920015335083,0.9998980760574341,0.7357016801834106,0.11354807019233704,0.00017861653759609908,0.0,0.0,0.0010000000474974513
2,0.9983461499214172,0.9611610174179077,0.10222406685352325,0.7523413896560669,0.5062614679336548,0.89558345079422,0.9997121691703796,0.8893446326255798,0.04567034915089607,0.0014045026618987322,0.0,0.0,0.0010000000474974513
3,0.9985628128051758,0.9817606210708618,0.04411047697067261,0.7452476620674133,0.5479859709739685,0.8580499291419983,0.27909529209136963,0.6684999465942383,4.3143792152404785,0.00015742229879833758,0.00013668798783328384,0.9777777791023254,0.0010000000474974513
4,0.9987838268280029,0.9826915860176086,0.02991202287375927,0.7554194927215576,0.5934478640556335,0.892055869102478,0.9754168391227722,0.8020551800727844,0.0954766646027565,0.0002731849963311106,0.00031999999191612005,0.07777778059244156,0.0010000000474974513
5,0.9989480376243591,0.9971931576728821,0.02203773334622383,0.8102000951766968,0.6321396827697754,0.9041907787322998,0.9999003410339355,0.9999040961265564,0.009884377010166645,0.7299906015396118,1.0,0.011111111380159855,0.0005000000237487257
6,0.9991711378097534,0.9945857524871826,0.02086210623383522,0.8169872760772705,0.6952247023582458,0.9080005884170532,0.999938428401947,0.9999536275863647,0.010725157335400581,0.7707327604293823,0.6881720423698425,0.7111111283302307,0.0005000000237487257
7,0.9989986419677734,0.9966098070144653,0.01913575269281864,0.8049744963645935,0.6437879204750061,0.9132214188575745,0.999903678894043,0.999962329864502,0.007554075680673122,0.7930686473846436,1.0,0.04444444552063942,0.0005000000237487257
8,0.9991002678871155,0.9948173761367798,0.019333072006702423,0.818401575088501,0.6720614433288574,0.9140679836273193,0.9999485015869141,0.9986773729324341,0.005319712217897177,0.8146177530288696,0.8548387289047241,0.5888888835906982,0.0005000000237487257
9,0.9987926483154297,0.9973766207695007,0.016425570473074913,0.8406271934509277,0.5927891731262207,0.9140679836273193,0.9999529719352722,0.9887447953224182,0.00406530499458313,0.8498378396034241,0.9137930870056152,0.5888888835906982,0.0005000000237487257
10,0.9991747140884399,0.9961040019989014,0.016817787662148476,0.8601232767105103,0.6921936273574829,0.922110915184021,0.9999462366104126,0.9666019082069397,0.004680188838392496,0.7725338339805603,0.9375,0.5,0.0005000000237487257
11,0.9990692734718323,0.9978920817375183,0.014989007264375687,0.8466513156890869,0.6615306735038757,0.9208409786224365,0.9988532066345215,0.9911035895347595,0.011827770620584488,0.18251517415046692,0.044834308326244354,0.5111111402511597,0.0005000000237487257
12,0.9991673231124878,0.9977702498435974,0.014342301525175571,0.8561677932739258,0.6891295313835144,0.9249329566955566,0.9999428987503052,0.9996626377105713,0.006029709707945585,0.7153575420379639,0.8545454740524292,0.5222222208976746,0.0002500000118743628
13,0.9992480278015137,0.9977730512619019,0.013285170309245586,0.8422995805740356,0.714425802230835,0.9252151846885681,0.9999518394470215,0.9999558925628662,0.0026109435129910707,0.8300189971923828,0.7281553149223328,0.8333333134651184,0.0002500000118743628
14,0.9992573261260986,0.9981514811515808,0.012524317018687725,0.8526237607002258,0.7161501049995422,0.9291660785675049,0.9999563097953796,0.9999823570251465,0.002298646839335561,0.8730071783065796,0.7179487347602844,0.9333333373069763,0.0001250000059371814
15,0.9991625547409058,0.9983232021331787,0.011880307458341122,0.8741136193275452,0.6863153576850891,0.9298716187477112,0.9999462366104126,0.9887434840202332,0.0023549858015030622,0.8629733324050903,0.6721311211585999,0.9111111164093018,0.0001250000059371814
